Student_ID,CGPA,Technical_Skills_Count,Soft_Skills_Count,Projects_Count,Certifications_Count,Internship_Experience,Workshops_Attended,Hackathons_Participated,Eligible
1,6.87,1,2,2,0,1,1,0,0
2,9.75,1,5,5,0,0,5,1,0
3,8.66,7,4,0,1,0,3,0,0
4,7.99,0,0,3,4,1,2,0,0
5,5.78,6,1,5,4,1,1,1,0
6,5.78,2,5,3,0,0,2,1,0
7,5.29,3,3,0,4,0,1,3,0
8,9.33,3,2,2,4,0,1,2,1
9,8.01,2,2,2,2,1,4,4,0
10,8.54,6,1,1,4,1,1,3,0
11,5.1,0,5,1,4,0,3,1,0
12,9.85,3,5,1,4,0,3,3,0
13,9.16,4,4,2,1,1,5,4,1
14,6.06,3,1,3,4,1,0,3,0
15,5.91,7,5,4,2,1,5,0,0
16,5.92,0,4,2,3,1,1,2,0
17,6.52,1,5,0,1,1,5,1,0
18,7.62,1,2,4,2,0,0,1,0
19,7.16,1,4,2,0,1,0,3,0
20,6.46,7,5,5,2,0,2,3,0
21,8.06,0,4,2,3,0,5,1,0
22,5.7,1,4,1,1,0,4,1,0
23,6.46,6,5,3,3,0,5,1,0
24,6.83,1,4,5,0,0,2,2,0
25,7.28,0,0,3,0,1,3,2,0
26,8.93,7,0,4,0,1,2,4,1
27,6.0,4,5,2,2,0,4,4,0
28,7.57,3,0,1,2,0,3,3,0
29,7.96,0,0,5,4,1,2,0,0
30,5.23,0,1,0,0,0,4,4,0
31,8.04,2,3,2,3,1,1,2,0
32,5.85,1,5,1,0,0,1,2,0
33,5.33,5,4,0,1,1,0,3,0
34,9.74,4,1,0,2,0,2,2,0
35,9.83,5,5,4,0,1,3,1,1
36,9.04,2,0,3,4,0,0,0,0
37,6.52,4,4,3,0,1,5,0,0
38,5.49,1,3,4,4,0,2,0,0
39,8.42,5,5,2,2,0,5,3,1
40,7.2,7,4,5,2,1,3,3,1
41,5.61,1,2,1,4,1,1,1,0
42,7.48,1,2,5,1,1,0,1,0
43,5.17,3,5,5,2,1,3,2,0
44,9.55,4,1,3,4,1,2,2,1
45,6.29,4,3,5,2,0,0,2,0
46,8.31,2,1,4,0,1,3,3,0
47,6.56,7,4,3,3,1,2,2,0
48,7.6,0,3,3,1,0,5,4,0
49,7.73,1,5,3,3,1,3,3,0
50,5.92,1,1,2,1,1,0,0,0
51,9.85,5,4,4,0,0,2,2,1
52,8.88,2,0,3,4,0,4,0,0
53,9.7,4,4,3,4,1,0,3,1
54,9.47,3,1,4,4,1,3,4,1
55,7.99,4,5,0,0,0,4,0,0
56,9.61,3,5,5,3,0,2,3,1
57,5.44,3,3,2,2,0,1,0,0
58,5.98,4,3,2,4,1,3,3,0
59,5.23,5,0,5,2,0,5,4,0
60,6.63,1,1,1,3,0,3,1,0
61,6.94,3,5,1,2,0,0,1,0
62,6.36,5,5,5,2,0,1,2,0
63,9.14,2,0,0,2,1,0,2,0
64,6.78,2,2,1,0,0,4,0,0
65,6.4,3,5,3,3,1,1,2,0
66,7.71,1,4,3,2,0,1,3,0
67,5.7,3,2,5,4,1,0,2,0
68,9.01,2,2,1,4,1,1,2,0
69,5.37,6,0,5,3,1,3,2,0
70,9.93,2,0,2,0,0,2,1,0
71,8.86,4,4,0,2,0,5,3,0
72,5.99,6,0,3,0,0,0,3,0
73,5.03,1,0,0,3,0,4,4,0
74,9.08,4,0,1,1,1,5,1,0
75,8.53,6,5,4,4,1,0,3,1
76,8.65,5,0,5,2,0,0,1,1
77,8.86,6,0,5,2,1,4,3,1
78,5.37,5,2,0,3,1,4,1,0
79,6.79,5,2,0,3,0,4,3,0
80,5.58,6,4,1,0,0,2,1,0
81,9.32,6,3,1,4,0,4,0,0
82,8.12,0,4,3,0,1,4,4,0
83,6.65,6,5,4,3,1,1,0,0
84,5.32,5,5,4,4,1,0,0,0
85,6.55,3,5,0,3,0,4,1,0
86,6.63,4,1,4,0,1,4,1,0
87,8.65,5,4,1,0,1,2,1,0
88,8.19,1,4,5,0,1,4,1,0
89,9.44,7,0,1,1,0,2,4,0
90,7.36,6,0,1,0,0,4,4,0
91,5.6,5,0,0,2,0,3,1,0
92,8.57,3,3,2,0,1,3,4,1
93,8.8,7,5,1,3,0,1,2,0
94,7.81,6,0,4,0,0,1,3,1
95,8.85,3,1,4,3,0,2,3,1
96,7.47,7,2,1,3,1,3,0,0
97,7.61,7,1,5,4,0,2,3,1
98,7.14,3,3,2,1,1,3,1,1
99,5.13,3,0,0,3,0,5,3,0
100,5.54,3,4,1,3,0,4,3,0
101,5.16,1,2,0,2,1,1,4,0
102,8.18,0,5,2,0,0,4,2,0
103,6.57,2,3,1,1,0,5,4,0
104,7.54,0,1,5,1,1,5,1,0
105,9.54,2,0,1,4,0,2,4,0
106,6.25,4,3,1,3,1,3,1,0
107,7.05,6,3,3,3,0,5,2,1
108,8.78,3,4,1,2,1,2,0,0
109,6.14,4,5,1,1,1,2,0,0
110,5.38,4,4,5,0,1,3,2,0
